Designator,Mid X,Mid Y,Layer,Rotation
P846,54.425124999999994mm,92.83756199999999mm,Top,0.0
P847,58.625125mm,92.83756199999999mm,Top,0.0
P848,62.825125mm,92.83756199999999mm,Top,0.0
P849,67.025125mm,92.83756199999999mm,Top,0.0
P850,71.225125mm,92.83756199999999mm,Top,0.0
P851,75.425125mm,92.83756199999999mm,Top,0.0
P852,87.325125mm,98.33756199999999mm,Top,0.0
P853,91.525125mm,98.33756199999999mm,Top,0.0
P854,95.725125mm,98.33756199999999mm,Top,0.0
P855,99.92512500000001mm,98.33756199999999mm,Top,0.0
P856,104.125125mm,98.33756199999999mm,Top,0.0
P857,108.325125mm,98.33756199999999mm,Top,0.0
P858,112.525125mm,98.33756199999999mm,Top,0.0
P859,116.725125mm,98.33756199999999mm,Top,0.0
P860,87.325125mm,92.83756199999999mm,Top,0.0
P861,91.525125mm,92.83756199999999mm,Top,0.0
P862,95.725125mm,92.83756199999999mm,Top,0.0
P863,99.92512500000001mm,92.83756199999999mm,Top,0.0
P864,104.125125mm,92.83756199999999mm,Top,0.0
P865,108.325125mm,92.83756199999999mm,Top,0.0
P866,112.525125mm,92.83756199999999mm,Top,0.0
P867,116.725125mm,92.83756199999999mm,Top,0.0
P868,117.750125mm,86.812562mm,Top,0.0
P869,117.750125mm,82.612562mm,Top,0.0
P870,117.750125mm,78.412562mm,Top,0.0
P871,112.250125mm,86.812562mm,Top,0.0
P872,112.250125mm,82.612562mm,Top,0.0
P873,112.250125mm,78.412562mm,Top,0.0
